Year,Degree,Experience,Billing
2017,Master,14,45750000
2017,Master,15,47500000
2017,Master,16,49250000
2017,Master,17,51250000
2017,Master,18,53000000
2017,Master,19,54750000
2017,Master,20,56750000
2017,Master,21,58500000
2017,Master,22,60250000
2017,Master,23,62250000
2017,Master,24,64000000
2017,Master,25,66000000
2017,Doctorate,8,41750000
2017,Doctorate,9,43750000
2017,Doctorate,10,45750000
2017,Doctorate,11,47750000
2017,Doctorate,12,49750000
2017,Doctorate,13,51750000
2017,Doctorate,14,53750000
2017,Doctorate,15,55750000
2017,Doctorate,16,57750000
2017,Doctorate,17,59750000
2017,Doctorate,18,61750000
2017,Doctorate,19,63750000
2017,Doctorate,20,65750000
2017,Doctorate,21,67750000
2017,Doctorate,22,69750000
2017,Doctorate,23,71750000
2017,Doctorate,24,73750000
2017,Doctorate,25,75750000
2018,Bachelor,3,18000000
2018,Bachelor,4,19500000
2018,Bachelor,5,21000000
2018,Bachelor,6,22500000
2018,Bachelor,7,24000000
2018,Bachelor,8,25500000
2018,Bachelor,9,27000000
2018,Bachelor,10,28500000
2018,Bachelor,11,30000000
2018,Bachelor,12,31500000
2018,Bachelor,13,33000000
2018,Bachelor,14,34500000
2018,Bachelor,15,36000000
2018,Bachelor,16,37500000
2018,Bachelor,17,39000000
2018,Bachelor,18,40500000
2018,Bachelor,19,42000000
2018,Bachelor,20,43500000
2018,Bachelor,21,45000000
2018,Bachelor,22,46500000
2018,Bachelor,23,48000000
2018,Bachelor,24,49500000
2018,Bachelor,25,51000000
2018,Master,1,22500000
2018,Master,2,24500000
2018,Master,3,26250000
2018,Master,4,28000000
2018,Master,5,30000000
2018,Master,6,31750000
2018,Master,7,33500000
2018,Master,8,35500000
2018,Master,9,37250000
2018,Master,10,39000000
2018,Master,11,41000000
2018,Master,12,42750000
2018,Master,13,44500000
2018,Master,14,46500000
2018,Master,15,48250000
2018,Master,16,50000000
2018,Master,17,52000000
2018,Master,18,53750000
2018,Master,19,55500000
2018,Master,20,57500000
2018,Master,21,59250000
2018,Master,22,61000000
2018,Master,23,63000000
2018,Master,24,64750000
2018,Master,25,66500000
2018,Doctorate,1,29000000
2018,Doctorate,2,31000000
2018,Doctorate,3,33000000
2018,Doctorate,4,35000000
2018,Doctorate,5,37000000
2018,Doctorate,6,39000000
2018,Doctorate,7,41000000
2018,Doctorate,8,43000000
2018,Doctorate,9,45000000
2018,Doctorate,10,47000000
2018,Doctorate,11,49000000
2018,Doctorate,12,51000000
2018,Doctorate,13,53000000
2018,Doctorate,14,55000000
2018,Doctorate,15,57000000
2018,Doctorate,16,59000000
2018,Doctorate,17,61000000
2018,Doctorate,18,63000000
2018,Doctorate,19,65000000
2018,Doctorate,20,67000000
2018,Doctorate,21,69000000
2018,Doctorate,22,71000000
2018,Doctorate,23,73000000
2018,Doctorate,24,75000000
2018,Doctorate,25,77000000
2019,Bachelor,3,18500000
2019,Bachelor,4,20000000
2019,Bachelor,5,21500000
2019,Bachelor,6,23000000
2019,Bachelor,7,24500000
2019,Bachelor,8,26000000
2019,Bachelor,9,27500000
2019,Bachelor,10,29000000
2019,Bachelor,11,30500000
2019,Bachelor,12,32000000
2019,Bachelor,13,33500000
2019,Bachelor,14,35000000
2019,Bachelor,15,36500000
2019,Bachelor,16,38000000
2019,Bachelor,17,39500000
2019,Bachelor,18,41000000
2019,Bachelor,19,42500000
2019,Bachelor,20,44000000
2019,Bachelor,21,45500000
2019,Bachelor,22,47000000
2019,Bachelor,23,48500000
2019,Bachelor,24,50000000
2019,Bachelor,25,51500000
2019,Master,1,23750000
2019,Master,2,25500000
2019,Master,3,27250000
2019,Master,4,29250000
2019,Master,5,31000000
2019,Master,6,32750000
2019,Master,7,34750000
2019,Master,8,36500000
2019,Master,9,38250000
2019,Master,10,40250000
2019,Master,11,42000000
2019,Master,12,43750000
2019,Master,13,45750000
2019,Master,14,47500000
2019,Master,15,49250000
2019,Master,16,51250000
2019,Master,17,53000000
2019,Master,18,54750000
2019,Master,19,56750000
2019,Master,20,58500000
2019,Master,21,60250000
2019,Master,22,62250000
2019,Master,23,64000000
2019,Master,24,65750000
2019,Master,25,67750000
2019,Doctorate,1,30250000
2019,Doctorate,2,32250000
2019,Doctorate,3,34250000
2019,Doctorate,4,36250000
2019,Doctorate,5,38250000
2019,Doctorate,6,40250000
2019,Doctorate,7,42250000
2019,Doctorate,8,44250000
2019,Doctorate,9,46250000
2019,Doctorate,10,48250000
2019,Doctorate,11,50250000
2019,Doctorate,12,52250000
2019,Doctorate,13,54250000
2019,Doctorate,14,56250000
2019,Doctorate,15,58250000
2019,Doctorate,16,60250000
2019,Doctorate,17,62250000
2019,Doctorate,18,64250000
2019,Doctorate,19,66250000
2019,Doctorate,20,68250000
2019,Doctorate,21,70250000
2019,Doctorate,22,72250000
2019,Doctorate,23,74250000
2019,Doctorate,24,76250000
2019,Doctorate,25,78250000
2020,Bachelor,3,19000000
2020,Bachelor,4,20500000
2020,Bachelor,5,22000000
2020,Bachelor,6,23500000
2020,Bachelor,7,25000000
2020,Bachelor,8,26500000
2020,Bachelor,9,28000000
2020,Bachelor,10,29500000
2020,Bachelor,11,31000000
2020,Bachelor,12,32500000
2020,Bachelor,13,34000000
2020,Bachelor,14,35500000
2020,Bachelor,15,37000000
2020,Bachelor,16,38500000
2020,Bachelor,17,40000000
2020,Bachelor,18,41500000
2020,Bachelor,19,43000000
2020,Bachelor,20,44500000
2020,Bachelor,21,46000000
2020,Bachelor,22,47500000
2020,Bachelor,23,49000000
2020,Bachelor,24,50500000
2020,Bachelor,25,52000000
2020,Master,1,24500000
2020,Master,2,26500000
2020,Master,3,28250000
2020,Master,4,30000000
2020,Master,5,32000000
2020,Master,6,33750000
2020,Master,7,35750000
2020,Master,8,37500000
2020,Master,9,39250000
2020,Master,10,41250000
2020,Master,11,43000000
2020,Master,12,44750000
2020,Master,13,46750000
2020,Master,14,48500000
2020,Master,15,50250000
2020,Master,16,52250000
2020,Master,17,54000000
2020,Master,18,55750000
2020,Master,19,57750000
2020,Master,20,59500000
2020,Master,21,61250000
2020,Master,22,63250000
2020,Master,23,65000000
2020,Master,24,66750000
2020,Master,25,68750000
2020,Doctorate,1,31500000
2020,Doctorate,2,33500000
2020,Doctorate,3,35500000
2020,Doctorate,4,37500000
2020,Doctorate,5,39500000
2020,Doctorate,6,41500000
2020,Doctorate,7,43500000
2020,Doctorate,8,45500000
2020,Doctorate,9,47500000
2020,Doctorate,10,49500000
2020,Doctorate,11,51500000
2020,Doctorate,12,53500000
2020,Doctorate,13,55500000
2020,Doctorate,14,57500000
2020,Doctorate,15,59500000
2020,Doctorate,16,61500000
2020,Doctorate,17,63500000
2020,Doctorate,18,65500000
2020,Doctorate,19,67500000
2020,Doctorate,20,69500000
2020,Doctorate,21,71500000
2020,Doctorate,22,73500000
2020,Doctorate,23,75500000
2020,Doctorate,24,77500000
2020,Doctorate,25,79500000
2021,Bachelor,3,21950000
2021,Bachelor,4,23500000
2021,Bachelor,5,25050000
2021,Bachelor,6,26600000
2021,Bachelor,7,28150000
2021,Bachelor,8,29650000
2021,Bachelor,9,31200000
2021,Bachelor,10,32750000
2021,Bachelor,11,34300000
2021,Bachelor,12,35850000
2021,Bachelor,13,37350000
2021,Bachelor,14,38900000
2021,Bachelor,15,40450000
2021,Bachelor,16,42000000
2021,Bachelor,17,43550000
